CNPJ,preco,cliente,UF,cidade,bairro
10199766000109,862.58,VANUSA TAVARES DE OLIVEIRA-ME,RJ,CAMPOS DOS GOYTACAZES,PARQUE ROSARIO
22872424000189,866.6299999999999,R.M. CORREA HORTIFRUTTI ANIL EIRELI - EPP,RJ,RIO DE JANEIRO,ANIL
23673682000107,886.8,ALINE FAVERO DO NASCIMENTO,BA,PRADO,SAO BRAS
28834151000164,892.1200000000001,MERCADO TANGERINA LTDA,RJ,DUQUE DE CAXIAS,QUITATIVA
26941332000164,939.0,SUPERMERCADOS CAMPO GRANDE EIRELI,ES,CARIACICA,CAMPO GRANDE
13459058000140,947.84,MERCEARIA ESTRELA DA PRIMAVERA LTDA EPP,RJ,DUQUE DE CAXIAS,JARDIM SANTANA DO PILAR
29080813000110,953.58,MERCADO ADONAI DO ENCANAMENTO LTDA,RJ,RIO DE JANEIRO,COSMOS
11068482000138,956.0100000000002,E C V AUGUSTO MERCEARIA - ME,ES,SERRA,SERRAMAR
7532975000100,984.9600000000002,D' IGOR MERCEARIA LTDA ME,RJ,SAO GONCALO,JARDIM CATARINA
21604696000135,994.2199999999999,M K HORTIFRUTI DE NOVA IGUACU LTDA - ME,RJ,NOVA IGUACU,COMENDADOR SOARES
28782266000152,1002.0,MERO INDUSTRIA E COMERCIO DE PESCADOS LTDA-ME,RJ,MARICA,SAO JOSE DE IMBASSAI
13911878000120,1004.2199999999999,ELENILDA REGINA MARINS GUIMARAES MERCEARIA ME.,RJ,CABO FRIO,MARIA JOAQUINA
6890258000359,1010.3,RCA IMPERIAL COMERCIO DE FRUTAS E LEGUMES LTDA - ME,RJ,SAO JOAO DE MERITI,CENTRO
20712456000191,1030.3200000000002,CITY CARNES 25 DE AGOSTO MERCEARIA E LANCHONETE LTDA EPP,RJ,DUQUE DE CAXIAS,JARDIM VINTE E CINCO DE AGOSTO
62379037000391,1034.17,IND DE PRODS ALIMS MAVALERIO LTDA,SP,ITATIBA,DO PINHAL
2328363000186,1040.7599999999998,SCARPE CEREAIS LTDA,ES,CACHOEIRO DE ITAPEMIRIM,MONTE CRISTO
17851326000125,1045.4100000000003,BIFE DE ELITE COMERCIO DE CARNES LTDA - ME,RJ,NOVA IGUACU,VALVERDE
11251254000441,1050.8700000000001,CEREAIS GEHREN COMERCIO DE ALIMENTOS LTDA.,RJ,PETROPOLIS,ALTO DA SERRA
26765355000165,1070.46,ACOUGUE E MERCEARIA MEGA BOI DA PRACA 2016 EIRELI - ME,RJ,NILOPOLIS,CENTRO
4620892000184,1072.6800000000003,COMPANHIA DO BOI COMERCIO DE CARNES EIRELI,ES,SERRA,JARDIM LIMOEIRO
11836085000169,1081.9600000000005,CASA DO QUEIJO DA RETA LTDA - EPP,RJ,TERESOPOLIS,VARZEA
28593597000144,1092.3799999999997,MERCADO DO BAIRRO QUATRO LTDA,RJ,NITEROI,FONSECA
12502505000133,1096.14,MILLENIUM SUPERMERCADOS LTDA ME,RJ,ITABORAI,AMPLIACAO
25062218000100,1101.0800000000002,MERCEARIA TRAPICHE LTDA - ME,RJ,MACAE,TRAPICHE
28223386000110,1102.44,SUPERMERCADO SANSAO LTDA,RJ,NATIVIDADE,LIBERDADE
26597455000200,1103.31,HORTIFRUTI SACOLAO ASA LTDA - ME,RJ,MACAE,VISCONDE DE ARAUJO
