cod,descricao
050037,EMPANA CEBOLA  20KG
050038,EMPANA PRATICO  FRANGO 1KG
050040,ERVA DOCE 500GR
050041,ERVAS FINAS  500GR
050042,LEMON PEPPER  500GR
050043,LOURO EM FOLHA  500GR
050044,MANJERICAO  500GR
050045,MOLHO DE ALHO  3.100KG
050046,MOLHO DE ALHO  COM ERVAS FINAS  3.100KG
050047,MOLHO DE  CHURRASCO  3.100KG
050048,MOLHO DE  PIMENTA 3.100KG
050049,MOLHO DE  PIMENTA  CALABRESA  3.100KG
050050,MOLHO INGLES  3.100KG
050051,MOLHO  CONDIMENTADO  COLOSSAL 12KG
050052,MOLHO  CONDIMENTADO  PICANTE 6KG
050054,NOZ MOSCADA  MOIDA 500GR
050055,OREGANO 500GR
050056,PAPRICA DOCE  500GR
050057,PASTA DE ALHO C/  SAL 1.010KG
050061,PIMENTA  CALABRESA  FLOCOS 500GR
050062,PIMENTA DO  REINO E COMINHO  MOIDO 500GR
050063,PIMENTA DO  REINO GRAO  500GR
050064,PIMENTA DO  REINO MOIDA  500GR
050065,PIMENTA DO  REINO MOIDA  BRANCA 500GR
050066,PIMENTA CUMARI  DO PARA PET 2LTS
050067,PIMENTA  MALAGUETA PET  2LTS
050068,PIMENTA MIX 2LTS
050069,REALCADOR DE  SABOR 1KG.
050070,SALSA  DESIDRATADA   500GR
050071,TEMPERO BAIANO  500GR
050072,TEMPERO MISTO  500GR
050073,TEMPERO  CHURRASCO 10KG
050074,TEMPERO  COMPLETO  C/PASTA DE ALHO  1.010KG
050075,TEMPERO  COMPLETO  C/ERVAS FINAS  1.010KG
050076,TEMPERO  COMPLETO BACON  1.010KG
050077,TEMPERO  COMPLETO GRILL  1.010KG
050078,TEMPERO  COMPLETO  NATURAL 1.010KG
050079,TEMPERO  COMPLETO  PICANTE  C/PIMENTA  1.010KG
050080,TEMPERO  P/CHURRASCO  1.010KG
050081,URUCUM 500GR
050082,UVA PASSAS 500GR
050083,LOURO EM PO  500GR
050084,COLORIFICO  PRATICO 500GR
050085,CONFEITO  CHOCOLATE  REDONDO 500G
050086,CONFEITO  COLORIDO 500G
050089,GERGELIM 500GR
050095,PIMENTA  BIQUINHO 2 LT
050096,ALHO E CEBOLA  PICADINHO S/ SAL  1 KG
050102,TOMILHO 500G
050104,AMACIANTE DE  CARNE C/ ERVAS  FINAS 1.010KG
050105,CALDO DE  BACALHAU C/  ERVAS FINAS  1.010KG
050106,HORTELA 500G
050107,ALHO FRITO  (POTE) 500G
050108,ALHO FRITO 500G  (POTE) FD 12 UNID
050112,CEBOLA PICADA  1.010KG
050113,CEBOLA EM  FLOCOS  DESIDRATADA  500G
050114,ALHO EM PO 500G.
050115,MOLHO SHOYU  3.100 LTS
050116,CREME DE CEBOLA  1KG
050119,EMPANA FOODS  20KG
050120,KETCHUP  TRADICIONAL  1.010KG
050121,KETCHUP  TRADICIONAL  3.100KG
050122,BARBECUE 1.010KG
050123,ALHO E CEBOLA  PICADINHO S/ SAL  1 KG CX 12 UNID
050124,ALHO PICADINHO  C/ ERVAS FINA S/  SAL 1KG CX 12  UNID
050125,BARBECUE 3.100KG
050126,MOSTARDA  1.010KG
050127,MOSTARDA  3.100KG
050128,ALHO  DESIDRATADO  500G
050129,ALHO EM FLOCOS  500G
050130,GENGIBRE EM PÓ  500G
050131,COLORIFICO  PRATICO 500GR  FD 30 UNID
050132,MOLHO FOODS  3.100 KG
050134,SUPRA JACK  1.010KG
050135,MAIONESE  DEFUMADA  1.010KG.
050136,CHIMI CHURRI  CREMOSO  1.010KG.
050138,PATÊ DE ALHO  1.010KG
050139,MAIONESE  TEMPERADA  1.010KG.
050140,MOLHO 3 EM 1  1.010KG
050142,LEMON PEPPER  CREMOSO 1.010KG
050143,PASTA DE  PIMENTA  CREMOSA 1.010KG
050144,FECULA DE  MANDIOCA 25KG
050145,ORÉGANO 250G
050146,PASTA DE  PIMENTA  CREMOSA 1.010KG  CX 12 UNID
050147,CALDO DE  GALINHA FOODS  1.010KG
050148,CALDO DE CARNE  FOODS 1.010KG
050149,CALDO DE BACON  FOODS 1.010KG
050150,EMPANA FACIL 1KG
050152,ALHO FRITO 20KG
050153,PAPRICA PICANTE  500G
050154,PIMENTA  BIQUINHO 2KG
050155,OREGANO  36X6X20G
050156,MANJERICÃO  36X6X10G
050157,HORTELÃ 36X6X6G
050158,GENGIBRE EM PÓ  36X6X20G
050159,ERVAS FINAS  36X6X10G
050160,ALHO FRITO  36X6X30G
050161,ALHO EM FLOCOS  36X6X20G
050162,COENTRO MOIDO  36X6X10G
050163,CURRY 36X6X15G
050164,CALDO DE  BACALHAU C/  ERVAS FINAS  36X6X60G
050165,CALDO DE  CAMARÃO C/  ERVAS FINAS  36X6X60G
050166,CALDO DE PEIXE  C/ ERVAS FINAS  36X6X60G
050167,MOLHO P/  GRELHADOS  12X1.010L
050168,MOLHO DE ALHO  C/ PIMENTA  12X1.010L
050169,MOLHO DE  PIMENTA VERDE  12X1.010L
050170,MOLHO DE  PIMENTA VULCÃO  12X1.010L
050171,MOLHO DE  PIMENTA AMARELA  12X1.010L
000006,DIVERSOS
060001,IMPRESSOS -  SOLAPA COM  VERNIZ TOTAL
060002,VENTILADOR 40  CM TURBO
060003,RODA CARRINHO  COMPLETA 3.25X8
060004,CANECA ALUM.  N14 2.5L CB LUXO
060005,GOMA ELASTICA P/  CEDULA MERCUR
060006,FITA EMPACOT.  45X45
060007,VEIC. PUBL -  REVISTA SUPER  RIO
060008,TESOURA
060009,LUVA DE  BORRACHA TAM M  AMARELA
060010,FITILHO ROLO 1KG
